Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Bank 11,Bank 12,Bank 13,Bank 14,Bank 15,Bank 16,Bank 17,Bank 18,Bank 19,Bank 20,Bank 21,Bank 22,Industry Average,Financial Savings,Year
825,810,834,797,849,838,787,792,795,834,810,807,811,804,784,818,795,823,775,757,767,772,795,774,2012
846,829,822,808,851,841,803,800,807,837,833,820,800,827,798,811,786,829,775,771,759,761,800,785,2013
846,845,836,825,851,825,798,815,820,826,837,807,804,829,798,824,794,811,769,789,757,755,804,805,2014
847,845,833,789,851,840,828,821,825,842,838,815,805,829,790,815,803,831,783,804,704,758,812,833,2015
865,853,850,820,858,845,845,835,843,839,852,845,831,837,830,848,817,837,806,813,751,791,830,839,2016
862,848,856,823,862,848,843,834,834,853,858,837,831,836,828,837,817,850,813,822,768,792,832,843,2017
850,846,844,832,842,829,840,832,839,838,849,848,827,823,818,833,819,827,800,809,771,787,824,827,2018
868,872,854,853,861,853,849,849,855,868,871,846,847,854,852,851,856,866,832,852,811,826,846,836,2019
